<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VN30,20170120,632.1700,636.3900,632.1700,634.2800,35854530
^VN30,20170123,634.8100,637.1400,634.8100,635.4200,35318539
^VN30,20170124,635.3100,640.1800,635.3100,639.3200,34711470
^VN30,20170125,640.9200,644.7900,639.4300,644.7900,38334229
^VN30,20170202,645.7200,652.9800,645.7200,652.9800,37214480
^VN30,20170203,656.2700,657.6300,651.1800,651.1800,44587710
^VN30,20170206,652.5000,654.0300,649.3500,654.0300,37891682
^VN30,20170207,654.2400,657.4200,653.8800,656.4800,54415797
^VN30,20170208,657.6200,657.9700,655.1200,657.9700,45312347
^VN30,20170209,658.4000,660.0800,657.6500,658.8300,56808292
^VN30,20170210,659.1200,659.8100,657.6500,658.7800,48041880
^VN30,20170213,660.0300,662.8300,659.3200,662.6800,47476720
^VN30,20170214,664.1100,665.2400,660.5700,663.4300,56285362
^VN30,20170215,663.5800,670.0600,663.5800,669.0800,55199340
^VN30,20170216,670.4900,676.6500,667.4700,667.7200,78250720
^VN30,20170217,667.0900,668.7600,664.4900,668.1000,58861960
^VN30,20170220,664.9000,669.5000,663.1100,667.5600,70848110
^VN30,20170221,668.3000,673.7700,668.3000,671.5200,64496390
^VN30,20170222,671.9600,672.4300,666.4900,668.6100,69787356
^VN30,20170223,668.6900,670.9700,662.0600,667.4200,58469942
^VN30,20170224,667.2700,668.3000,661.3700,661.8100,68537600
^VN30,20170227,659.6300,666.6400,659.6300,666.2200,55414620
^VN30,20170228,667.1700,667.7000,657.9500,657.9500,40583080
^VN30,20170301,656.6900,657.6400,649.4500,655.9900,52804790
^VN30,20170302,655.9400,658.7100,653.7600,653.7600,44574400
^VN30,20170303,654.3600,657.4100,650.5900,656.7700,41543540
^VN30,20170306,657.2600,660.7900,657.2600,658.6100,45661953
^VN30,20170307,658.2100,659.9000,656.3600,659.9000,49914520
^VN30,20170308,659.6400,665.2000,658.5400,662.4800,41605219
^VN30,20170309,662.3000,666.6600,662.0400,664.3000,65376570
^VN30,20170310,664.5900,667.4900,663.4900,663.4900,58262100
^VN30,20170313,663.8600,664.4900,659.9500,662.6700,39744180
^VN30,20170314,663.1300,667.6700,662.8200,665.4600,33808990
^VN30,20170315,666.4600,667.4200,663.5400,663.5700,39031010
^VN30,20170316,663.8500,668.0700,663.8500,668.0700,59841760
^VN30,20170317,669.4000,671.0700,668.3500,668.3500,109109950
^VN30,20170320,672.5200,678.7800,672.5200,676.0200,55113108
^VN30,20170321,677.1400,682.2800,677.1400,679.6900,83654215
^VN30,20170322,679.7800,685.9000,677.9600,677.9600,97102459
